Parâmetro,CNAE,Denominação Geral,Denominação Específica
Acrilamida,0161001,Serviço de pulverização e controle de pragas agrícolas,Serviços de pulverização de lavouras
Acrilamida,1071600,Fabricação de açúcar em bruto,Fabricação de açucar de beterraba em bruto
Acrilamida,1072402,Fabricação de açúcar de cereais (dextrose) e de beterraba,Produção de açucar de beterraba em bruto
Acrilamida,2022300,"Fabricação de intermediários para plastificantes, resinas e fibras",Fabricação de acrilamida; metacrilamidas
Acrilamida,2029100,Fabricação de produtos químicos orgânicos não especificados anteriormente,Fabricação de acrilamida
Acrilamida,2031200,Fabricação de resinas termoplásticas,Fabricação de poliamidas
Acrilamida,2072000,Fabricação de tintas de impressão,
Acrilamida,2091600,Fabricação de adesivos e selantes,
Acrilamida,2093200,Fabricação de aditivos de uso industrial,Fabricação de produtos químicos para tratamento de água
Antimônio,0729404,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",Extração de minério de antimônio
Antimônio,2019399,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,Fabricação de trioxido de antimônio
Antimônio,2073800,"Fabricação de impermeabilizantes, solventes e produtos afins",Fabricação de massa para vidros
Antimônio,2092401,"Fabricação de pólvoras, explosivos e detonantes",Fabricação de explosivos
Antimônio,2092403,Fabricação de fósforos de segurança,Fabricação de fósforos de segurança
Antimônio,2093200,Fabricação de aditivos de uso industrial,
Antimônio,2094100,Fabricação de catalisadores,Fabricação de catalisadores para polímeros
Antimônio,2110600,Fabricação de produtos farmoquímicos,Fabricação de farmoquimicos para medicamentos veterinários
Antimônio,2121101,Fabricação de medicamentos alopáticos para uso humano,Fabricação de antileishmaniase
Antimônio,2122000,Fabricação de medicamentos para uso veterinário,
Antimônio,2449199,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,Produção de antimonio em formas primarias ou semiacabadas
Antimônio,2452100,Fundição de metais não ferrosos e suas ligas,Fundição de metais não ferrosos
Antimônio,2539001,"Serviços de usinagem, tornearia e solda",
Antimônio,3831999,"Recuperação de materiais metálicos, exceto alumínio",Recuperação de sucatas de antimônio
Arsênio,0724301,Extração de minério de metais preciosos,Extração de minério de ouro
Arsênio,0724302,Beneficiamento de minério de metais preciosos,
Arsênio,0729403,Extração de minério de níquel,
Arsênio,0729404,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",
Arsênio,1510600,Curtimento e outras preparações de couro,Fabricação de couros e peles de bovinos curtidos ao cromo (wet blue / box call)
Arsênio,1610205,Serviço de tratamento de madeira realizado sob contrato,Serviços de tratamento de madeira com creosoto ou outro agente de conservação 
Arsênio,2019399,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,Fabricação de arsênio e ácido arsenioso
Arsênio,2312500,Fabricação de embalagens de vidro,Fabricação de garrafas de garrafões de vidro
Arsênio,2449199,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,"Fabricação de cinzas e resíduos contendo titanio, vanádio, arsenio, mercúrio, zinco e outros minérios não específicados"
Arsênio,2610800,Fabricação de componentes eletrônicos,Fabricação de semicondutores
Bário,0600001,Extração de Petróleo e Gás natural,
Bário,0891600,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",Extração de sulfato de bário natural (baritina)
Bário,1313800,Fiação de fibras artificiais e sintéticas,
Bário,1340502,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",
Bário,2019399,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,Fabricação de bário (metal alcalino terroso)
Bário,2031200,Fabricação de resinas termoplásticas,
Bário,2061400,Fabricação de sabões e detergentes sintéticos,"Fabricação de sabões para uso industrial, em barras, pedaços, etc"
Bário,2033900,Fabricação de elastômeros,Fabricação de borrachas
Bário,2093200,Fabricação de aditivos de uso industrial,
Bário,2211100,Fabricação de pneumáticos e de câmaras de ar,
Bário,2212900,Reforma de pneumáticos usados,
Bário,2219600,Fabricação de artefatos de borracha não especificados anteriormente,
Bário,2311700,Fabricação de vidro plano e de segurança,
Bário,2342701,Fabricação de azulejos e pisos,
Bário,2342702,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",
Bário,2349401,Fabricação de material sanitário de cerâmica,
Bário,2349499,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,
Bário,2399199,Fabricação de outros produtos de minerais não metálicos não especificados anteriormente,"Sufato de bário natural beneficiado (barita, baritina, espato-pesado), não associado a extração exceto refinado ou obtido por via química"
Cádmio,0729404,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",
Cádmio,0729405,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",Produção de minério de chumbo concentrado
Cádmio,2019399,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,Fabricação de pigmentos a base de sais de cádmio
Cádmio,2093200,Fabricação de aditivos de uso industrial,Fabricação de produtos químicos para galvanoplastia
Cádmio,2522500,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",Fabricação de reatores nucleares
Cádmio,2539002,Serviços de tratamento e revestimento em metais,Serviço de galvanoplastia
Cádmio,2721000,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",
Chumbo,0729404,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",Extração de minério de chumbo
Chumbo,0729405,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",Produção de minério de chumbo concentrado
Chumbo,2019399,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,Fabricação de alvaiade de chumbo
Chumbo,2029100,Fabricação de produtos químicos orgânicos não especificados anteriormente,Fabricação de acetato de chumbo
Chumbo,2033900,Fabricação de elastômeros,Fabricação de borrachas
Chumbo,2071100,"Fabricação de tintas, vernizes, esmaltes e lacas",
Chumbo,2422901,"Produção de laminados planos de aço ao carbono, revestidos ou não","Fabricação de bobinas ou chapas de aços ao carbono, revestidos de chumbo..."
Chumbo,2449199,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,Produção de canos e tubos de chumbo
Chumbo,2539001,"Serviços de usinagem, tornearia e solda",Serviço de solda
Chumbo,2539002,Serviços de tratamento e revestimento em metais,Serviço de galvanoplastia
Chumbo,2599399,Fabricação de outros produtos de metal não especificados anteriormente,Fabricação de artefatos de chumbo
Chumbo,2660400,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,
Chumbo,2722801,Fabricação de baterias e acumuladores para veículos automotores,
Chumbo,2722802,Recondicionamento de baterias e acumuladores para veículos automotores,
Chumbo,2910701,"Fabricação de automóveis, camionetas e utilitários",
Chumbo,2920401,Fabricação de caminhões e ônibus,
Chumbo,2945000,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",
Chumbo,3313902,Manutenção e reparação executada por unidade especializada baterias e acumuladores elétricos (exceto para veículos),
Chumbo,3831999,"Recuperação de materiais metálicos, exceto alumínio",Recuperação de sucatas de chumbo
Cobre,0111301,Cultivo de arroz,
Cobre,0111302,Cultivo de milho,
Cobre,0111303,Cultivo de trigo,
Cobre,0111399,Cultivo de outros cereais não especificados anteriormente,
Cobre,0112101,Cultivo de algodão herbáceo,
Cobre,0112102,Cultivo de juta,
Cobre,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,
Cobre,0113000,Cultivo de cana de açúcar,
Cobre,0114800,Cultivo de fumo,
Cobre,0115600,Cultivo de soja,
Cobre,0116401 ,Cultivo de amendoim,
Cobre,0116402,Cultivo de girassol,
Cobre,0116403,Cultivo de mamona,
Cobre,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,
Cobre,0119901,Cultivo de abacaxi,
Cobre,0119902,Cultivo de alho,
Cobre,0119903,Cultivo de batata inglesa,
Cobre,0119904,Cultivo de cebola,
Cobre,0119905,Cultivo de feijão,
Cobre,0119906,Cultivo de mandioca,
Cobre,0119907,Cultivo de melão,
Cobre,0119908,Cultivo de melancia,
Cobre,0119909,Cultivo de tomate rasteiro,
Cobre,0119999 ,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,
Cobre,0121101 ,"Horticultura, exceto morango",
Cobre,0121102 ,Cultivo de morango,
Cobre,0122900 ,Cultivo de flores e plantas ornamentais,
Cobre,0131800 ,Cultivo de laranja,
