municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_724301,cnae_724302,cnae_729403,cnae_729404,cnae_1510600,cnae_1610205,cnae_2019399,cnae_2312500,cnae_2449199,cnae_2610800
ABADIA DE GOIAS,520005,Arsênio,GO,29,4,6,9,10,0,10,0.4,0,0,0,0,0,0,0,0,0,0,0
ABAETE,310020,Arsênio,MG,26,14,0,10,2,0,2,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0
ABARE,290020,Arsênio,BA,8,8,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ABELARDO LUZ,420010,Arsênio,SC,19,0,1,16,2,0,2,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0
ACEGUA,430003,Arsênio,RS,43,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACREUNA,520013,Arsênio,GO,23,14,2,5,2,0,2,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0
ACUCENA,310050,Arsênio,MG,9,0,0,0,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0
ADAMANTINA,350010,Arsênio,SP,43,11,2,16,14,0,14,0.4375,0,0,0,0,0,1,0,0,0,0,0
ADELANDIA,520015,Arsênio,GO,10,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADOLFO,350020,Arsênio,SP,21,8,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRIANOPOLIS,410020,Arsênio,PR,37,1,26,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AFONSO CLAUDIO,320010,Arsênio,ES,11,0,0,10,1,0,1,0.09090909090909091,0,0,0,0,0,2,0,0,0,0,0
