municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_729405,cnae_1510600,cnae_1610205,cnae_2019399,cnae_2071100,cnae_2093200,cnae_2412100,cnae_2423702,cnae_2449199,cnae_2539002
ABADIA DE GOIAS,520005,Cromo,GO,29,6,3,12,8,0,8,0.34782608695652173,0,0,0,0,0,0,4,0,0,0,0,1
ABAETE,310020,Cromo,MG,26,8,2,9,7,0,7,0.3888888888888889,0,0,0,0,0,0,0,0,0,0,0,0
ABARE,290020,Cromo,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0
ABELARDO LUZ,420010,Cromo,SC,19,0,1,13,5,0,5,0.2631578947368421,0,0,0,0,0,0,0,0,0,0,0,0
ABREULANDIA,170025,Cromo,TO,2,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
ACAJUTIBA,290030,Cromo,BA,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ACEGUA,430003,Cromo,RS,46,7,33,5,1,0,1,0.02564102564102564,0,0,0,0,0,0,0,0,0,0,0,0
ACREUNA,520013,Cromo,GO,23,14,3,2,4,0,4,0.4444444444444444,0,0,0,0,0,0,1,0,1,0,0,0
ACUCENA,310050,Cromo,MG,9,0,0,0,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
ADAMANTINA,350010,Cromo,SP,44,17,3,5,19,0,19,0.7037037037037037,0,0,0,1,0,0,0,0,0,0,0,0
ADELANDIA,520015,Cromo,GO,8,5,0,1,2,0,2,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
ADOLFO,350020,Cromo,SP,21,7,1,0,13,0,13,0.9285714285714286,0,0,0,0,0,0,0,0,0,0,0,0
ADRIANOPOLIS,410020,Cromo,PR,36,1,28,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AFONSO CLAUDIO,320010,Cromo,ES,23,0,0,20,3,0,3,0.13043478260869565,0,0,0,2,0,0,0,0,0,0,0,0
AGROLANDIA,420020,Cromo,SC,16,0,1,9,6,0,6,0.375,0,0,0,0,0,0,0,0,0,0,0,4
AGUA BOA,310060,Cromo,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1
AGUA CLARA,500020,Cromo,MS,20,10,0,8,2,0,2,0.2,0,0,0,1,0,0,0,1,0,0,0,0
AGUA COMPRIDA,310070,Cromo,MG,8,2,0,0,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
AGUA DOCE,420040,Cromo,SC,26,2,1,19,4,0,4,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
AGUA FRIA,290040,Cromo,BA,10,10,0,0,0,0,0,NA,NA,0,0,2,0,0,0,1,1,0,0,0
AGUA FRIA DE GOIAS,520017,Cromo,GO,12,1,8,2,1,0,1,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0
AGUA LIMPA,520020,Cromo,GO,20,9,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA SANTA,430005,Cromo,RS,20,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAI,350030,Cromo,SP,16,0,8,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
AGUAS DA PRATA,350040,Cromo,SP,81,12,30,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS DE SAO PEDRO,350060,Cromo,SP,20,9,2,5,4,0,4,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS FORMOSAS,310090,Cromo,MG,7,7,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,0,0,0
AGUAS FRIAS,420055,Cromo,SC,32,2,3,24,3,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS LINDAS DE GOIAS,520025,Cromo,GO,8,1,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
AGUAS MORNAS,420060,Cromo,SC,14,0,0,12,2,0,2,0.14285714285714285,0,0,0,0,2,0,1,0,0,0,0,0
AGUAS VERMELHAS,310100,Cromo,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUDO,430010,Cromo,RS,35,2,32,0,1,0,1,0.030303030303030304,0,0,0,1,0,0,0,0,0,0,0,0
AGUDOS,350070,Cromo,SP,80,32,8,24,16,0,16,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,2,0
AGUDOS DO SUL,410030,Cromo,PR,31,0,20,5,6,0,6,0.1935483870967742,0,0,0,0,0,0,0,0,0,0,0,0
AGUIA BRANCA,320013,Cromo,ES,19,7,0,10,2,0,2,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
AGUIARNOPOLIS,170030,Cromo,TO,37,2,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIQUARA,290060,Cromo,BA,13,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJURICABA,430020,Cromo,RS,36,1,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAMBARI,350075,Cromo,SP,18,2,0,15,1,0,1,0.0625,0,0,0,0,1,0,0,0,0,0,0,0
ALCINOPOLIS,500025,Cromo,MS,14,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOBACA,290080,Cromo,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ALECRIM,430030,Cromo,RS,26,2,18,1,5,0,5,0.20833333333333334,0,0,0,2,0,0,0,0,0,0,0,0
ALEGRETE,430040,Cromo,RS,233,27,201,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
ALEXANIA,520030,Cromo,GO,21,9,6,5,1,0,1,0.08333333333333333,0,0,0,0,0,0,1,0,0,0,0,0
ALFENAS,310160,Cromo,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,2
ALFREDO MARCONDES,350080,Cromo,SP,25,13,0,0,4,8,12,1,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0
ALFREDO VASCONCELOS,310163,Cromo,MG,11,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFREDO WAGNER,420070,Cromo,SC,18,0,0,16,2,0,2,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0
ALIANCA DO TOCANTINS,170035,Cromo,TO,11,0,0,9,1,1,2,0.18181818181818182,0.09090909090909091,0,0,1,0,0,0,0,0,0,0,0
ALMADINA,290090,Cromo,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMAS,170040,Cromo,TO,33,0,14,17,2,0,2,0.06060606060606061,0,0,0,0,0,0,0,0,0,0,0,0
ALMENARA,310170,Cromo,MG,9,1,0,0,8,0,8,1,0,1,0,1,0,0,0,0,0,0,0,0
ALMIRANTE TAMANDARE,410040,Cromo,PR,32,0,26,6,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,3
ALOANDIA,520050,Cromo,GO,32,7,14,8,3,0,3,0.12,0,0,0,0,0,0,0,0,0,0,0,0
ALPERCATA,310180,Cromo,MG,5,1,0,0,4,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0
ALPESTRE,430050,Cromo,RS,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINOPOLIS,310190,Cromo,MG,16,16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ALTAIR,350090,Cromo,SP,30,3,0,15,12,0,12,0.4444444444444444,0,0,0,0,0,0,0,0,0,0,0,0
ALTAMIRA DO PARANA,410045,Cromo,PR,16,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTEROSA,310200,Cromo,MG,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,350110,Cromo,SP,34,0,0,4,30,0,30,0.8823529411764706,0,0,0,0,0,0,0,0,0,0,0,0
