municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729403,cnae_1043100,cnae_2019399,cnae_2093200,cnae_2094100,cnae_2423702,cnae_2449199,cnae_2452100,cnae_2539001,cnae_2539002,cnae_2721000,cnae_2722801,cnae_2722802,cnae_3211603,cnae_3250706,cnae_3313902
ABADIA DE GOIAS,520005,Níquel,GO,28,3,5,0,20,0,20,0.8,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0
ABAETE,310020,Níquel,MG,26,8,2,10,6,0,6,0.3333333333333333,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
ABARE,290020,Níquel,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ABELARDO LUZ,420010,Níquel,SC,19,0,1,14,4,0,4,0.21052631578947367,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0
ACEGUA,430003,Níquel,RS,46,4,41,0,1,0,1,0.023809523809523808,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACREUNA,520013,Níquel,GO,23,11,1,4,7,0,7,0.5833333333333334,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
ACUCENA,310050,Níquel,MG,9,0,0,0,9,0,9,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ADAMANTINA,350010,Níquel,SP,34,7,6,16,5,0,5,0.18518518518518517,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,3,0
ADELANDIA,520015,Níquel,GO,8,3,0,1,4,0,4,0.8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ADOLFO,350020,Níquel,SP,21,7,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRIANOPOLIS,410020,Níquel,PR,37,0,28,8,1,0,1,0.02702702702702703,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AFONSO CLAUDIO,320010,Níquel,ES,8,0,0,7,1,0,1,0.125,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
AGROLANDIA,420020,Níquel,SC,16,0,2,10,4,0,4,0.25,0,0,0,0,0,0,0,0,0,137,4,0,0,0,0,0,0
AGUA BOA,310060,Níquel,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AGUA CLARA,500020,Níquel,MS,24,1,6,14,3,0,3,0.13043478260869565,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,1,0
AGUA COMPRIDA,310070,Níquel,MG,8,3,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
AGUA DOCE,420040,Níquel,SC,22,2,2,16,2,0,2,0.1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
AGUA FRIA,290040,Níquel,BA,10,10,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
AGUA FRIA DE GOIAS,520017,Níquel,GO,11,1,1,1,8,0,8,0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AGUA LIMPA,520020,Níquel,GO,20,7,1,5,7,0,7,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA SANTA,430005,Níquel,RS,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AGUAI,350030,Níquel,SP,16,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,1,0,0,1,0
AGUAS DA PRATA,350040,Níquel,SP,81,12,30,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AGUAS DE SAO PEDRO,350060,Níquel,SP,20,9,2,5,4,0,4,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS FORMOSAS,310090,Níquel,MG,7,7,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
AGUAS FRIAS,420055,Níquel,SC,32,4,4,22,2,0,2,0.07142857142857142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AGUAS LINDAS DE GOIAS,520025,Níquel,GO,14,1,0,3,10,0,10,0.7692307692307693,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,1,1
AGUAS MORNAS,420060,Níquel,SC,14,0,1,11,2,0,2,0.14285714285714285,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AGUAS VERMELHAS,310100,Níquel,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
AGUDO,430010,Níquel,RS,35,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
AGUDOS,350070,Níquel,SP,80,39,0,17,24,0,24,0.5853658536585366,0,0,0,0,0,0,0,2,3,25,0,0,0,0,0,1,0
AGUDOS DO SUL,410030,Níquel,PR,33,0,20,7,6,0,6,0.18181818181818182,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
AGUIA BRANCA,320013,Níquel,ES,17,8,0,7,2,0,2,0.2222222222222222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AGUIARNOPOLIS,170030,Níquel,TO,18,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIQUARA,290060,Níquel,BA,15,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJURICABA,430020,Níquel,RS,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0
