municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729404,cnae_1066000,cnae_2013401,cnae_2013402,cnae_2071100,cnae_2099101,cnae_2121101,cnae_2311700,cnae_2312500,cnae_2610800,cnae_2829199
ABADIA DE GOIAS,520005,Selênio,GO,29,10,3,10,6,0,6,0.3157894736842105,0,0,3,0,0,4,0,0,0,0,0,1
ABAETE,310020,Selênio,MG,26,16,0,10,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,2
ABARE,290020,Selênio,BA,8,8,0,0,0,0,0,NA,NA,0,1,0,0,1,0,0,0,0,0,0
ABELARDO LUZ,420010,Selênio,SC,27,0,1,23,3,0,3,0.1111111111111111,0,0,4,0,0,0,0,0,0,0,0,1
ACEGUA,430003,Selênio,RS,40,7,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ACREUNA,520013,Selênio,GO,23,12,5,2,4,0,4,0.36363636363636365,0,0,6,1,4,1,0,0,0,0,0,1
ACUCENA,310050,Selênio,MG,9,0,0,0,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
ADAMANTINA,350010,Selênio,SP,43,10,10,21,2,0,2,0.06060606060606061,0,0,1,0,1,0,0,0,2,0,0,1
ADELANDIA,520015,Selênio,GO,6,3,1,1,1,0,1,0.3333333333333333,0,0,4,0,0,0,0,0,0,0,0,0
ADOLFO,350020,Selênio,SP,21,8,5,7,1,0,1,0.07692307692307693,0,0,0,0,0,0,0,1,0,0,0,0
ADRIANOPOLIS,410020,Selênio,PR,37,0,28,8,1,0,1,0.02702702702702703,0,0,0,0,0,0,0,1,0,0,0,0
AFONSO CLAUDIO,320010,Selênio,ES,12,0,0,10,2,0,2,0.16666666666666666,0,0,1,0,0,0,0,0,0,0,0,0
AGROLANDIA,420020,Selênio,SC,16,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA BOA,310060,Selênio,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
AGUA CLARA,500020,Selênio,MS,32,0,18,12,2,0,2,0.0625,0,0,1,0,0,0,0,0,0,0,0,0
AGUA COMPRIDA,310070,Selênio,MG,8,6,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
AGUA DOCE,420040,Selênio,SC,26,2,2,19,3,0,3,0.125,0,0,7,0,0,0,0,0,0,0,0,0
AGUA FRIA,290040,Selênio,BA,8,8,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0
AGUA FRIA DE GOIAS,520017,Selênio,GO,11,1,6,1,3,0,3,0.3,0,0,1,0,0,0,0,0,0,0,0,0
AGUA LIMPA,520020,Selênio,GO,20,8,6,3,3,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0
AGUA SANTA,430005,Selênio,RS,18,1,17,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
AGUAI,350030,Selênio,SP,16,0,8,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
AGUAS DA PRATA,350040,Selênio,SP,81,12,29,40,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
AGUAS DE SAO PEDRO,350060,Selênio,SP,20,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS FORMOSAS,310090,Selênio,MG,10,10,0,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0
AGUAS FRIAS,420055,Selênio,SC,32,2,7,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
AGUAS LINDAS DE GOIAS,520025,Selênio,GO,5,1,0,1,3,0,3,0.75,0,0,5,0,0,2,0,0,2,0,0,1
AGUAS VERMELHAS,310100,Selênio,MG,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUDO,430010,Selênio,RS,35,2,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AGUDOS,350070,Selênio,SP,84,12,35,32,5,0,5,0.06944444444444445,0,0,0,0,0,0,0,0,0,0,1,3
AGUDOS DO SUL,410030,Selênio,PR,33,0,20,7,6,0,6,0.18181818181818182,0,0,0,0,2,0,0,0,0,0,0,0
AGUIA BRANCA,320013,Selênio,ES,20,7,0,10,3,0,3,0.23076923076923078,0,0,0,0,0,0,0,0,0,0,0,0
AGUIARNOPOLIS,170030,Selênio,TO,18,0,4,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AIQUARA,290060,Selênio,BA,12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AJURICABA,430020,Selênio,RS,32,1,31,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ALAMBARI,350075,Selênio,SP,2,2,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,1
ALCINOPOLIS,500025,Selênio,MS,14,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOBACA,290080,Selênio,BA,10,10,0,0,0,0,0,NA,NA,0,2,0,0,0,0,0,0,0,0,0
ALECRIM,430030,Selênio,RS,24,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEGRETE,430040,Selênio,RS,233,27,203,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1
ALEXANIA,520030,Selênio,GO,15,4,7,0,4,0,4,0.36363636363636365,0,0,6,2,0,1,0,0,1,0,0,0
ALFENAS,310160,Selênio,MG,6,4,0,1,1,0,1,0.5,0,0,5,3,10,0,0,1,6,1,2,3
ALFREDO MARCONDES,350080,Selênio,SP,25,2,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
